ID,ORF,Metarow,Metacolomn,Sub-Grid Row,Sub-Grid Colomn,description
1,slr0613,1,1,1,2,
2,sll1214,1,1,1,3,phytochrome-regulated gene
3,sll1212,1,1,1,4,GDP-D-mannose dehydratase
4,sll1209,1,1,1,5,DNA ligase
5,slr1318,1,1,1,6,iron(III) dicitrate transport system permease prot
6,slr0257,1,1,1,7,carboxyl-terminal protease
7,sll0216,1,1,1,8,hypothetical protein
8,sll1326,1,1,1,9,ATP synthase a subunit
9,sll1324,1,1,1,10,ATP synthase subunit b
10,slr1413,1,1,1,11,
11,slr1415,1,1,1,12,
12,sll0938,1,1,1,13,aspartate transaminase
13,sll0934,1,1,1,15,carboxysome formation protein
14,sll0930,1,1,1,16,
15,sll0926,1,1,1,17,hypothetical protein
16,slr0974,1,1,1,18,initiation factor IF-3
17,sll1291,1,1,1,19,regulatory components of sensory transduction syst
18,sll1289,1,1,1,20,
19,slr1393,1,1,1,22,sensory transduction histidine kinase
20,slr1395,1,1,1,23,
21,slr1398,1,1,1,24,
22,slr1491,1,1,2,1,iron(III) dicitrate-binding periplasmic protein
23,slr1494,1,1,2,2,ABC transporter
24,sll1399,1,1,2,3,
25,sll1396,1,1,2,4,
26,sll1395,1,1,2,5,dTDP-6-deoxy-L-mannose-dehydrogenase
27,sll1393,1,1,2,6,glycogen (starch) synthase
28,slr1104,1,1,2,7,hypothetical protein
29,sll1037,1,1,2,8,
30,sll1035,1,1,2,9,uracil phosphoribosyltransferase
31,slr1107,1,1,2,10,
32,slr1109,1,1,2,11,erythroid ankyrin
33,slr1772,1,1,2,12,
34,slr1615,1,1,2,13,perosamine synthetase
35,slr1617,1,1,2,14,
36,slr1619,1,1,2,15,
37,slr1064,1,1,2,16,mannosyltransferase B
38,slr1066,1,1,2,17,
39,slr1070,1,1,2,18,
40,slr2009,1,1,2,19,NADH dehydrogenase subunit 5
41,slr2012,1,1,2,20,
42,sll1924,1,1,2,21,hypothetical protein
43,slr2017,1,1,2,22,
44,sll1921,1,1,2,23,
45,slr2024,1,1,2,24,regulatory component of sensory transduction syste
46,sll1053,1,1,3,1,hypothetical protein
47,slr1124,1,1,3,2,phosphoglycerate mutase
48,sll1051,1,1,3,3,phycocyanin alpha phycocyanobilin lyase CpcF
49,slr1127,1,1,3,4,
50,slr1129,1,1,3,5,ribonuclease E
51,sll1043,1,1,3,6,polyribonucleotide nucleotidyltransferase
52,sll1677,1,1,3,7,spore maturation protein B
53,slr1787,1,1,3,8,hypothetical protein
54,slr1789,1,1,3,9,
55,sll1672,1,1,3,10,sensory transduction histidine kinase
56,slr1791,1,1,3,11,3'-phosphoadenosine-5'-phosphosulfate sulfotransfe
57,sll1669,1,1,3,12,shikimate kinase
58,slr1090,1,1,3,13,GTP-binding protein
59,sll1018,1,1,3,14,dihydroorotase
60,slr1400,1,1,3,15,regulatory components of sensory transduction syst
61,sll0654,1,1,3,16,alkaline phosphatase
62,slr0677,1,1,3,17,biopolymer transport ExbB protein
63,slr0679,1,1,3,18,fmu and fmv protein
64,sll1082,1,1,3,19,nitrate transport protein NrtD
65,sll1079,1,1,3,20,hydrogenase expression/formation protein HypB
66,sll1076,1,1,3,21,cation-transporting P-ATPase
67,slr1145,1,1,3,22,glutamate permease
68,sll1072,1,1,3,23,
69,sll1070,1,1,3,24,transketolase
70,slr0741,1,1,4,1,a negative regulator of pho regulon
71,slr0743,1,1,4,2,N utilization substance protein
72,slr0237,1,1,4,3,glycogen operon protein GlgX
73,slr0241,1,1,4,4,
74,slr0244,1,1,4,5,
75,sll0228,1,1,4,6,arginase
76,slr1293,1,1,4,7,
77,sll1198,1,1,4,8,tRNA(m1G37)methyltransferase
78,slr1298,1,1,4,9,hypothetical protein
79,slr1300,1,1,4,10,UbiH protein
80,slr1302,1,1,4,11,
81,sll1189,1,1,4,12,glycolate oxidase subunit  GlcE
82,sll0639,1,1,4,13,
83,slr0692,1,1,4,14,hypothetical protein
84,sll0634,1,1,4,15,hypothetical protein
85,slr1591,1,1,4,16,
86,slr1593,1,1,4,17,hypothetical protein
87,slr1596,1,1,4,18,hypothetical protein
88,sll1119,1,1,4,19,
89,slr1197,1,1,4,20,hypothetical protein
90,slr1199,1,1,4,21,DNA mismatch repair protein MutL
91,slr1201,1,1,4,22,
92,slr1206,1,1,4,23,
93,slr1212,1,1,4,24,ethylene response sensor protein
94,slr1041,1,1,5,1,PatA protein
95,slr1047,1,1,5,2,PleD gene product
96,slr1048,1,1,5,3,
97,slr1050,1,1,5,4,
98,slr1052,1,1,5,5,
99,sll1009,1,1,5,6,iron-regulated protein
100,sll1723,1,1,5,7,hypothetical protein
101,slr1837,1,1,5,8,regulatory components of sensory transduction syst
102,sll1469,1,1,5,9,
103,slr1536,1,1,5,10,ATP-dependent DNA helicase RecQ
104,slr1538,1,1,5,11,CbiD protein
105,slr1541,1,1,5,12,
106,slr0876,1,1,5,13,
107,slr0880,1,1,5,14,secreted protein MPB70 precursor
108,slr0882,1,1,5,15,
109,sll0869,1,1,5,17,Leu/Phe-tRNA-protein transferase
110,sll0867,1,1,5,18,
111,sll0842,1,1,5,19,neopullulanase
112,slr0865,1,1,5,20,
113,sll0838,1,1,5,21,orotidine 5' monophosphate decarboxylase
114,slr0867,1,1,5,22,
115,slr0869,1,1,5,23,
116,sll1165,1,1,5,24,DNA mismatch repair protein
117,slr1762,1,1,6,1,
118,sll1641,1,1,6,2,glutamate decarboxylase
119,sll1639,1,1,6,3,urease accessory protein D
120,sll1635,1,1,6,4,
121,slr1848,1,1,6,5,histidinol dehydrogenase
122,sll1750,1,1,6,6,urease alpha subunit
123,slr1552,1,1,6,7,
124,sll1453,1,1,6,8,nitrate transport protein NrtD
125,sll1634,1,1,6,9,
126,sll1633,1,1,6,10,cell division FtsZ protein
127,slr1751,1,1,6,11,carboxyl-terminal protease
128,sll1144,1,1,6,12,hypothetical protein
129,sll1306,1,1,6,13,
130,sll1304,1,1,6,14,
131,slr1865,1,1,6,15,
132,slr1867,1,1,6,16,anthranilate phosphoribosyltransferase
133,sll1775,1,1,6,17,
134,slr1870,1,1,6,18,
135,slr1255,1,1,6,19,phytoene synthase
136,slr1258,1,1,6,20,
137,slr1260,1,1,6,21,hypothetical protein
138,slr1263,1,1,6,22,
139,sll1958,1,1,6,23,histidinol phosphate aminotransferase
140,slr2058,1,1,6,24,DNA topoisomerase I
141,slr2045,1,1,7,1,hypothetical protein
142,slr2047,1,1,7,2,phosphate starvation-inducible protein
143,slr2049,1,1,7,3,hypothetical protein
144,slr2053,1,1,7,4,
145,sll1929,1,1,7,5,comE ORF3
146,sll1835,1,1,7,6,
147,slr1232,1,1,7,7,
148,slr1235,1,1,7,8,
149,slr1237,1,1,7,9,cytosine deaminase
150,slr1238,1,1,7,10,glutathione synthetase
151,slr1239,1,1,7,11,pyridine nucleotide transhydrogenase alpha subunit
152,slr1434,1,1,7,12,pyridine nucleotide transhydrogenase beta subunit
153,slr1880,1,1,7,13,
154,slr1881,1,1,7,14,high-affinity branched-chain amino acid transport
155,sll1757,1,1,7,15,
156,slr1885,1,1,7,16,hypothetical protein
157,slr1887,1,1,7,17,porphobilinogen deaminase
158,sll1704,1,1,7,18,cell-cell signaling protein, C-factor
159,slr2004,1,1,7,19,
160,sll1612,1,1,7,20,folyl-polyglutamate synthetase
161,sll1608,1,1,7,21,
162,slr1718,1,1,7,22,
163,slr1720,1,1,7,23,aspartyl-tRNA synthetase
164,slr1722,1,1,7,24,IMP dehydrogenase subunit
165,sll0995,1,1,8,1,
166,sll0993,1,1,8,2,potassium channel
167,sll0992,1,1,8,3,esterase
168,slr1028,1,1,8,4,
169,slr1031,1,1,8,5,tyrosyl tRNA synthetase
170,slr1035,1,1,8,6,
171,slr1448,1,1,8,7,fructokinase
172,sll1350,1,1,8,8,
173,sll1348,1,1,8,9,hypothetical protein
174,sll1277,1,1,8,10,RecF protein
175,sll1275,1,1,8,11,pyruvate kinase
176,slr1364,1,1,8,12,biotin synthetase
177,sll1624,1,1,8,13,hypothetical protein
178,slr1736,1,1,8,14,
179,sll1621,1,1,8,15,membrane protein
180,sll1618,1,1,8,16,
181,slr1744,1,1,8,17,N-acetylmuramoyl-L-alanine amidase
182,slr1747,1,1,8,18,
183,sll0252,1,1,8,19,
184,slr0264,1,1,8,20,hypothetical protein
185,sll0249,1,1,8,21,hypothetical protein
186,slr0267,1,1,8,22,hypothetical protein
187,slr0269,1,1,8,23,
188,slr0272,1,1,8,24,
